dia_de_ocurrencia,total,colision,atropello,derrape,choque,vuelco,embarranco,encuneto,caida,ignorado,fuente_cuadro
Total,8401.0,4513,2073,1192,401,143,73,3,1,2,cuadro 10
1,321.0,166,71,59,13,6,5,0,0,1,cuadro 10
2,301.0,159,76,45,14,5,2,0,0,0,cuadro 10
3,275.0,160,57,41,9,5,3,0,0,0,cuadro 10
4,249.0,130,57,37,13,11,1,0,0,0,cuadro 10
5,267.0,141,61,43,13,8,1,0,0,0,cuadro 10
6,290.0,167,62,44,11,3,3,0,0,0,cuadro 10
7,269.0,161,66,28,9,4,1,0,0,0,cuadro 10
8,267.0,141,78,25,18,2,3,0,0,0,cuadro 10
9,254.0,143,58,34,10,7,2,0,0,0,cuadro 10
10,265.0,141,75,22,16,5,6,0,0,0,cuadro 10
11,268.0,145,66,37,12,5,2,0,0,1,cuadro 10
12,281.0,143,79,46,6,5,2,0,0,0,cuadro 10
13,310.0,165,80,46,12,5,2,0,0,0,cuadro 10
14,300.0,166,75,38,15,2,4,0,0,0,cuadro 10
15,260.0,133,77,34,9,5,2,0,0,0,cuadro 10
16,291.0,150,68,54,10,3,6,0,0,0,cuadro 10
17,253.0,130,66,36,13,4,3,1,0,0,cuadro 10
18,293.0,169,66,38,14,4,2,0,0,0,cuadro 10
19,228.0,105,58,40,19,3,2,1,0,0,cuadro 10
20,259.0,128,72,38,13,5,2,1,0,0,cuadro 10
21,304.0,172,70,39,17,4,2,0,0,0,cuadro 10
22,278.0,161,50,47,14,3,3,0,0,0,cuadro 10
23,214.0,120,46,32,10,5,1,0,0,0,cuadro 10
24,304.0,174,70,35,18,5,2,0,0,0,cuadro 10
25,286.0,152,70,46,9,4,4,0,1,0,cuadro 10
26,250.0,132,68,28,15,7,0,0,0,0,cuadro 10
27,311.0,178,75,39,13,6,0,0,0,0,cuadro 10
28,277.0,142,82,37,14,2,0,0,0,0,cuadro 10
29,272.0,139,64,49,15,4,1,0,0,0,cuadro 10
30,241.0,124,57,34,19,4,3,0,0,0,cuadro 10
31,163.0,76,53,21,8,2,3,0,0,0,cuadro 10
