mes_de_ocurrencia,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,2073.0,272,258,228,241,295,377,402,cuadro 13
Enero,167.0,24,22,21,24,18,24,34,cuadro 13
Febrero,203.0,28,34,23,33,24,35,26,cuadro 13
Marzo,205.0,24,27,19,17,39,31,48,cuadro 13
Abril,155.0,29,20,21,17,18,26,24,cuadro 13
Mayo,134.0,19,15,11,12,29,20,28,cuadro 13
Junio,140.0,14,17,13,15,16,29,36,cuadro 13
Julio,187.0,28,22,22,29,23,29,34,cuadro 13
Agosto,150.0,13,18,18,19,27,27,28,cuadro 13
Septiembre,166.0,19,19,14,15,25,33,41,cuadro 13
Octubre,174.0,21,17,20,21,19,45,31,cuadro 13
Noviembre,182.0,19,17,24,18,32,38,34,cuadro 13
Diciembre,210.0,34,30,22,21,25,40,38,cuadro 13
