hora_de_ocurrencia,total,zona_1,zona_2,zona_3,zona_4,zona_5,zona_6,zona_7,zona_8,zona_9,zona_10,zona_11,zona_12,zona_13,zona_14,zona_15,zona_16,zona_17,zona_18,zona_19,zona_21,zona_24,zona_25,ignorada,fuente_cuadro
Total,1739.0,182.0,37.0,51.0,27.0,69.0,96.0,219.0,25.0,90.0,71.0,113.0,246.0,84.0,8.0,28.0,22.0,42.0,152.0,17.0,36.0,3.0,9.0,112,cuadro 14
00:00 a 00:59,118.0,11.0,2.0,2.0,0.0,6.0,7.0,19.0,3.0,6.0,3.0,8.0,21.0,7.0,0.0,1.0,1.0,4.0,7.0,2.0,4.0,0.0,1.0,3,cuadro 14
01:00 a 01:59,75.0,4.0,5.0,0.0,0.0,8.0,5.0,12.0,1.0,3.0,1.0,6.0,15.0,3.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,2,cuadro 14
02:00 a 02:59,78.0,4.0,2.0,3.0,0.0,1.0,3.0,9.0,1.0,2.0,7.0,10.0,14.0,5.0,1.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,2,cuadro 14
03:00 a 03:59,48.0,4.0,0.0,2.0,0.0,1.0,1.0,11.0,1.0,5.0,3.0,6.0,5.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3,cuadro 14
04:00 a 04:59,35.0,3.0,1.0,1.0,0.0,1.0,3.0,5.0,0.0,2.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1,cuadro 14
05:00 a 05:59,57.0,4.0,1.0,1.0,1.0,0.0,2.0,8.0,1.0,1.0,4.0,7.0,15.0,5.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2,cuadro 14
06:00 a 06:59,51.0,4.0,0.0,0.0,1.0,3.0,3.0,7.0,2.0,2.0,4.0,1.0,10.0,3.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2,cuadro 14
07:00 a 07:59,62.0,7.0,1.0,0.0,1.0,4.0,6.0,6.0,1.0,0.0,3.0,4.0,12.0,4.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,5,cuadro 14
08:00 a 08:59,40.0,5.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,3.0,2.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,5,cuadro 14
09:00 a 09:59,61.0,6.0,2.0,2.0,0.0,5.0,6.0,4.0,1.0,5.0,2.0,7.0,6.0,1.0,0.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,4,cuadro 14
10:00 a 10:59,73.0,10.0,5.0,2.0,3.0,3.0,2.0,9.0,2.0,5.0,4.0,5.0,7.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,6,cuadro 14
11:00 a 11:59,67.0,11.0,0.0,2.0,1.0,1.0,1.0,7.0,0.0,4.0,4.0,1.0,8.0,5.0,0.0,1.0,1.0,4.0,9.0,0.0,3.0,0.0,0.0,4,cuadro 14
12:00 a 12:59,54.0,3.0,1.0,2.0,0.0,1.0,6.0,4.0,0.0,2.0,4.0,3.0,8.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,4,cuadro 14
13:00 a 13:59,73.0,11.0,1.0,2.0,1.0,2.0,3.0,7.0,2.0,3.0,1.0,6.0,10.0,4.0,1.0,0.0,0.0,2.0,9.0,1.0,3.0,0.0,0.0,4,cuadro 14
14:00 a 14:59,66.0,3.0,2.0,1.0,0.0,1.0,5.0,9.0,2.0,1.0,3.0,4.0,11.0,2.0,0.0,2.0,5.0,1.0,8.0,0.0,2.0,0.0,0.0,4,cuadro 14
15:00 a 15:59,61.0,10.0,0.0,3.0,1.0,3.0,2.0,8.0,2.0,3.0,1.0,4.0,6.0,4.0,0.0,2.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,4,cuadro 14
16:00 a 16:59,69.0,8.0,0.0,4.0,2.0,6.0,3.0,11.0,0.0,1.0,0.0,3.0,8.0,4.0,0.0,0.0,0.0,1.0,8.0,1.0,2.0,0.0,0.0,7,cuadro 14
17:00 a 17:59,83.0,14.0,2.0,3.0,3.0,3.0,4.0,9.0,1.0,5.0,2.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,8,cuadro 14
