zona_de_ocurrencia,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,1739.0,218,202,184,200,279,353,303,cuadro 15
1,182.0,21,29,20,24,28,26,34,cuadro 15
2,37.0,5,6,5,3,6,7,5,cuadro 15
3,51.0,5,6,9,6,6,8,11,cuadro 15
4,27.0,3,3,1,5,7,6,2,cuadro 15
5,69.0,12,6,8,4,11,13,15,cuadro 15
6,96.0,15,14,15,10,10,17,15,cuadro 15
7,219.0,24,18,21,19,37,56,44,cuadro 15
8,25.0,3,6,2,2,0,8,4,cuadro 15
9,90.0,9,15,10,10,20,13,13,cuadro 15
10,71.0,4,15,10,9,10,10,13,cuadro 15
11,113.0,14,11,10,19,24,24,11,cuadro 15
12,246.0,32,19,23,34,47,54,37,cuadro 15
13,84.0,12,6,10,7,15,21,13,cuadro 15
14,8.0,0,0,1,2,3,2,0,cuadro 15
15,28.0,6,3,5,0,3,9,2,cuadro 15
16,22.0,3,2,2,5,3,3,4,cuadro 15
17,42.0,4,7,4,5,4,10,8,cuadro 15
18,152.0,19,11,9,20,17,36,40,cuadro 15
19,17.0,1,5,1,2,3,2,3,cuadro 15
21,36.0,9,2,4,1,5,8,7,cuadro 15
24,3.0,0,0,1,1,0,0,1,cuadro 15
25,9.0,2,0,0,2,2,2,1,cuadro 15
Ignorada,112.0,15,18,13,10,18,18,20,cuadro 15
