zona_de_ocurrencia,total,colision,atropello,derrape,choque,vuelco,embarranco,fuente_cuadro
Total,1739.0,983,417,244,81,11,3,cuadro 16
1,182.0,134,32,11,5,0,0,cuadro 16
2,37.0,27,5,5,0,0,0,cuadro 16
3,51.0,27,14,7,2,0,1,cuadro 16
4,27.0,9,12,5,1,0,0,cuadro 16
5,69.0,34,18,12,3,1,1,cuadro 16
6,96.0,45,32,14,3,2,0,cuadro 16
7,219.0,132,40,38,8,1,0,cuadro 16
8,25.0,13,7,4,1,0,0,cuadro 16
9,90.0,54,19,13,4,0,0,cuadro 16
10,71.0,52,10,7,0,2,0,cuadro 16
11,113.0,62,27,15,8,1,0,cuadro 16
12,246.0,140,50,47,8,1,0,cuadro 16
13,84.0,46,20,10,7,1,0,cuadro 16
14,8.0,6,2,0,0,0,0,cuadro 16
15,28.0,13,5,4,6,0,0,cuadro 16
16,22.0,13,4,2,3,0,0,cuadro 16
17,42.0,18,11,11,1,1,0,cuadro 16
18,152.0,63,52,24,12,1,0,cuadro 16
19,17.0,9,7,0,1,0,0,cuadro 16
21,36.0,19,9,4,4,0,0,cuadro 16
24,3.0,2,1,0,0,0,0,cuadro 16
25,9.0,4,1,3,1,0,0,cuadro 16
Ignorada,112.0,61,39,8,3,0,1,cuadro 16
