tipo_de_vehiculo,total,colision,atropello,derrape,choque,vuelco,embarranco,encuneto,caida,ignorado,col_12,fuente_cuadro
Total,13045.0,9087,2073,1219,437,144,78,3,1,3,,cuadro 18
Motocicleta,6462.0,4397,697,1172,175,4,17,0,0,0,,cuadro 18
Automóvil,2443.0,1657,640,12,93,27,13,1,0,0,,cuadro 18
Pick Up,1108.0,844,164,6,44,32,16,2,0,0,   ,cuadro 18
Camioneta,978.0,799,114,3,34,17,11,0,0,0,,cuadro 18
Camión,664.0,495,99,4,38,24,4,0,0,0,,cuadro 18
Cabezal,469.0,390,49,2,16,10,2,0,0,0,,cuadro 18
Bus Urbano,281.0,186,58,1,9,17,9,0,1,0,,cuadro 18
Microbús,157.0,121,19,2,9,4,2,0,0,0,,cuadro 18
Moto Taxi,116.0,76,18,6,9,7,0,0,0,0,,cuadro 18
Panel,49.0,35,6,0,6,0,2,0,0,0,,cuadro 18
Cuatrimoto,42.0,28,7,3,3,1,0,0,0,0,,cuadro 18
Tractor,9.0,7,2,0,0,0,0,0,0,0,,cuadro 18
Bus Extraurbano,8.0,5,2,1,0,0,0,0,0,0,,cuadro 18
Jeep,7.0,5,2,0,0,0,0,0,0,0,,cuadro 18
Bicicleta,4.0,1,3,0,0,0,0,0,0,0,,cuadro 18
Montacargas,1.0,0,1,0,0,0,0,0,0,0,,cuadro 18
Taxi,1.0,0,1,0,0,0,0,0,0,0,,cuadro 18
Ignorado,246.0,41,191,7,1,1,2,0,0,3,,cuadro 18
