color_de_vehiculo,total,colision,atropello,derrape,choque,vuelco,embarranco,caida,encuneto,ignorado,fuente_cuadro
Total,13045.0,9087,2073,1219,437,144,78,1,3,3,cuadro 19
Negro,2374.0,1752,242,291,66,12,11,0,0,0,cuadro 19
Blanco,1696.0,1293,218,70,71,37,7,0,0,0,cuadro 19
Rojo,1653.0,1188,185,189,64,15,11,0,1,0,cuadro 19
Gris,1396.0,1138,118,65,52,12,9,0,2,0,cuadro 19
Azul,1058.0,782,136,79,43,12,6,0,0,0,cuadro 19
Verde,300.0,244,25,8,13,9,1,0,0,0,cuadro 19
Corinto,197.0,144,27,7,13,3,3,0,0,0,cuadro 19
Amarillo,169.0,126,23,11,4,5,0,0,0,0,cuadro 19
Beige,122.0,109,8,0,3,2,0,0,0,0,cuadro 19
Café,77.0,60,10,3,4,0,0,0,0,0,cuadro 19
Anaranjado,68.0,48,11,6,2,1,0,0,0,0,cuadro 19
Celeste,58.0,46,6,1,3,0,2,0,0,0,cuadro 19
Morado,25.0,19,1,1,2,1,1,0,0,0,cuadro 19
Rosado,6.0,5,0,0,1,0,0,0,0,0,cuadro 19
Turquesa,6.0,3,2,0,0,1,0,0,0,0,cuadro 19
Ignorado,3840.0,2130,1061,488,96,34,27,1,0,3,cuadro 19
