departamento,total,hombre,mujer,ignorado,no_ebrio,total,total,total,ebrio,total,total,ignorado,total,total,total,fuente_cuadro
Total,13045.0,11751.0,983.0,311.0,505,444,60,1,495,478,17,12045,10829,906,310,cuadro 22
Guatemala,5290.0,4705.0,470.0,115.0,250,213,36,1,182,177,5,4858,4315,429,114,cuadro 22
El Progreso,297.0,279.0,10.0,8.0,6,6,0,0,10,10,0,281,263,10,8,cuadro 22
Sacatepéquez,574.0,519.0,45.0,10.0,14,13,1,0,30,28,2,530,478,42,10,cuadro 22
Chimaltenango,440.0,396.0,21.0,23.0,18,17,1,0,17,17,0,405,362,20,23,cuadro 22
Escuintla,1696.0,1526.0,120.0,50.0,44,39,5,0,36,34,2,1616,1453,113,50,cuadro 22
Santa Rosa,372.0,340.0,26.0,6.0,17,17,0,0,18,17,1,337,306,25,6,cuadro 22
Sololá,106.0,98.0,5.0,3.0,2,2,0,0,1,1,0,103,95,5,3,cuadro 22
Totonicapán,77.0,74.0,3.0,0.0,0,0,0,0,0,0,0,77,74,3,0,cuadro 22
Quetzaltenango,363.0,336.0,24.0,3.0,12,10,2,0,11,11,0,340,315,22,3,cuadro 22
Suchitepéquez,313.0,290.0,17.0,6.0,15,13,2,0,8,7,1,290,270,14,6,cuadro 22
Retalhuleu,300.0,269.0,25.0,6.0,23,22,1,0,16,16,0,261,231,24,6,cuadro 22
San Marcos,226.0,208.0,14.0,4.0,7,7,0,0,12,11,1,207,190,13,4,cuadro 22
Huehuetenango,211.0,191.0,16.0,4.0,14,13,1,0,24,22,2,173,156,13,4,cuadro 22
Quiché,231.0,222.0,8.0,1.0,10,10,0,0,9,9,0,212,203,8,1,cuadro 22
Baja Verapaz,267.0,244.0,18.0,5.0,10,9,1,0,26,25,1,231,210,16,5,cuadro 22
Alta Verapaz,544.0,510.0,20.0,14.0,20,20,0,0,44,44,0,480,446,20,14,cuadro 22
Petén,381.0,334.0,32.0,15.0,9,6,3,0,13,13,0,359,315,29,15,cuadro 22
Izabal,425.0,370.0,34.0,21.0,7,5,2,0,10,10,0,408,355,32,21,cuadro 22
Zacapa,198.0,181.0,12.0,5.0,8,6,2,0,3,3,0,187,172,10,5,cuadro 22
Chiquimula,208.0,182.0,22.0,4.0,0,0,0,0,5,5,0,203,177,22,4,cuadro 22
Jalapa,167.0,150.0,12.0,5.0,7,6,1,0,7,6,1,153,138,10,5,cuadro 22
Jutiapa,359.0,327.0,29.0,3.0,12,10,2,0,13,12,1,334,305,26,3,cuadro 22
