mes_de_ocurrencia,total,hombre,mujer,ignorado,no_ebrio,total,total,total,ebrio,total,total,ignorado,total,total,total,fuente_cuadro
Total,13045.0,11751.0,983.0,311.0,505,444,60,1,495,478,17,12045,10829,906,310,cuadro 23
Enero,950.0,843.0,72.0,35.0,73,64,9,0,38,35,3,839,744,60,35,cuadro 23
Febrero,1086.0,962.0,89.0,35.0,60,58,2,0,45,44,1,981,860,86,35,cuadro 23
Marzo,1194.0,1072.0,102.0,20.0,47,40,6,1,54,54,0,1093,978,96,19,cuadro 23
Abril,983.0,899.0,83.0,1.0,68,55,13,0,47,46,1,868,798,69,1,cuadro 23
Mayo,1060.0,853.0,70.0,137.0,10,10,0,0,59,58,1,991,785,69,137,cuadro 23
Junio,852.0,712.0,67.0,73.0,18,16,2,0,25,25,0,809,671,65,73,cuadro 23
Julio,1069.0,995.0,74.0,0.0,2,2,0,0,33,31,2,1034,962,72,0,cuadro 23
Agosto,1075.0,980.0,93.0,2.0,0,0,0,0,15,15,0,1060,965,93,2,cuadro 23
Septiembre,1039.0,955.0,82.0,2.0,9,9,0,0,29,28,1,1001,918,81,2,cuadro 23
Octubre,1187.0,1104.0,80.0,3.0,94,85,9,0,68,65,3,1025,954,68,3,cuadro 23
Noviembre,1225.0,1132.0,91.0,2.0,50,38,12,0,43,41,2,1132,1053,77,2,cuadro 23
Diciembre,1325.0,1244.0,80.0,1.0,74,67,7,0,39,36,3,1212,1141,70,1,cuadro 23
