condicion_del_conductor_y_sexo,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,13045.0,1761,1525,1460,1549,1861,2478,2411,cuadro 24
Hombres,11751.0,1569,1375,1302,1386,1669,2261,2189,cuadro 24
Mujeres,983.0,147,117,119,129,142,161,168,cuadro 24
Ignorado,311.0,45,33,39,34,50,56,54,cuadro 24
No ebrio,505.0,48,61,48,100,75,106,67,cuadro 24
Hombres,444.0,47,53,43,85,66,92,58,cuadro 24
Mujeres,60.0,1,8,5,15,8,14,9,cuadro 24
Ignorado,1.0,0,0,0,0,1,0,0,cuadro 24
Ebrio,495.0,62,42,44,41,66,115,125,cuadro 24
Hombres,478.0,60,41,41,40,65,112,119,cuadro 24
Mujeres,17.0,2,1,3,1,1,3,6,cuadro 24
Ignorado,12045.0,1651,1422,1368,1408,1720,2257,2219,cuadro 24
Hombres,10829.0,1462,1281,1218,1261,1538,2057,2012,cuadro 24
Mujeres,906.0,144,108,111,113,133,144,153,cuadro 24
Ignorado,310.0,45,33,39,34,49,56,54,cuadro 24
