grupos_de_edad,total,hombres,mujeres,ignorado,no_ebrio,total,total,total,ebrio,total,total,ignorado,total,total,total,fuente_cuadro
Total,13045.0,11751.0,983.0,311.0,505,444,60,1,495,478,17,12045,10829,906,310,cuadro 26
Menor de 15,59.0,50.0,9.0,0.0,2,1,1,0,0,0,0,57,49,8,0,cuadro 26
15 - 19,986.0,906.0,79.0,1.0,37,32,5,0,26,25,1,923,849,73,1,cuadro 26
20 - 24,1955.0,1797.0,157.0,1.0,88,74,14,0,102,101,1,1765,1622,142,1,cuadro 26
25 - 29,1785.0,1608.0,177.0,0.0,84,76,8,0,98,95,3,1603,1437,166,0,cuadro 26
30 - 34,1489.0,1331.0,157.0,1.0,56,45,11,0,92,87,5,1341,1199,141,1,cuadro 26
35 - 39,1049.0,949.0,99.0,1.0,54,48,6,0,50,48,2,945,853,91,1,cuadro 26
40 - 44,850.0,773.0,77.0,0.0,37,31,6,0,48,47,1,765,695,70,0,cuadro 26
45 - 49,617.0,548.0,69.0,0.0,33,29,4,0,28,26,2,556,493,63,0,cuadro 26
50 - 54,428.0,404.0,24.0,0.0,28,27,1,0,13,13,0,387,364,23,0,cuadro 26
55 - 59,260.0,238.0,22.0,0.0,19,17,2,0,5,5,0,236,216,20,0,cuadro 26
60 - 64,197.0,184.0,13.0,0.0,7,6,1,0,7,7,0,183,171,12,0,cuadro 26
65 - 69,125.0,116.0,9.0,0.0,7,7,0,0,4,4,0,114,105,9,0,cuadro 26
70 - 74,57.0,55.0,2.0,0.0,6,6,0,0,2,2,0,49,47,2,0,cuadro 26
75 - 79,25.0,23.0,2.0,0.0,1,1,0,0,0,0,0,24,22,2,0,cuadro 26
80 y más,9.0,9.0,0.0,0.0,0,0,0,0,0,0,0,9,9,0,0,cuadro 26
Ignorado,3154.0,2760.0,87.0,307.0,46,44,1,1,20,18,2,3088,2698,84,306,cuadro 26
