tipo_de_vehiculo_y_sexo_de_la_persona,total,colision,atropello,derrape,choque,vuelco,embarranco,encuneto,caida,ignorado,fuente_cuadro
Total,13045.0,9087,2073,1219,437,144,78,3,1,3,cuadro 27
Hombre,11751.0,8159,1837,1127,408,138,75,3,1,3,cuadro 27
Mujer,983.0,816,46,89,24,5,3,0,0,0,cuadro 27
Ignorado,311.0,112,190,3,5,1,0,0,0,0,cuadro 27
Motocicleta,6462.0,4397,697,1172,175,4,17,0,0,0,cuadro 27
Hombre,5929.0,3999,656,1085,169,4,16,0,0,0,cuadro 27
Mujer,484.0,383,9,85,6,0,1,0,0,0,cuadro 27
Ignorado,49.0,15,32,2,0,0,0,0,0,0,cuadro 27
Automóvil,2443.0,1657,640,12,93,27,13,1,0,0,cuadro 27
Hombre,2036.0,1374,533,11,81,25,11,1,0,0,cuadro 27
Mujer,285.0,248,22,1,10,2,2,0,0,0,cuadro 27
Ignorado,122.0,35,85,0,2,0,0,0,0,0,cuadro 27
Pick up,1108.0,844,164,6,44,32,16,2,0,0,cuadro 27
Hombre,1037.0,801,142,4,42,30,16,2,0,0,cuadro 27
Mujer,31.0,25,1,2,1,2,0,0,0,0,cuadro 27
Ignorado,40.0,18,21,0,1,0,0,0,0,0,cuadro 27
Camioneta,978.0,799,114,3,34,17,11,0,0,0,cuadro 27
Hombre,808.0,649,102,2,28,16,11,0,0,0,cuadro 27
Mujer,160.0,143,9,1,6,1,0,0,0,0,cuadro 27
Ignorado,10.0,7,3,0,0,0,0,0,0,0,cuadro 27
Camión,664.0,495,99,4,38,24,4,0,0,0,cuadro 27
Hombre,640.0,477,95,3,37,24,4,0,0,0,cuadro 27
Mujer,4.0,3,1,0,0,0,0,0,0,0,cuadro 27
Ignorado,20.0,15,3,1,1,0,0,0,0,0,cuadro 27
Cabezal,469.0,390,49,2,16,10,2,0,0,0,cuadro 27
Hombre,439.0,375,35,2,15,10,2,0,0,0,cuadro 27
Mujer,4.0,4,0,0,0,0,0,0,0,0,cuadro 27
Ignorado,26.0,11,14,0,1,0,0,0,0,0,cuadro 27
Bus urbano,281.0,186,58,1,9,17,9,0,1,0,cuadro 27
Hombre,271.0,178,56,1,9,17,9,0,1,0,cuadro 27
Mujer,2.0,1,1,0,0,0,0,0,0,0,cuadro 27
Ignorado,8.0,7,1,0,0,0,0,0,0,0,cuadro 27
Microbús,157.0,121,19,2,9,4,2,0,0,0,cuadro 27
Hombre,148.0,114,18,2,9,3,2,0,0,0,cuadro 27
Mujer,6.0,6,0,0,0,0,0,0,0,0,cuadro 27
Ignorado,3.0,1,1,0,0,1,0,0,0,0,cuadro 27
Moto taxi,116.0,76,18,6,9,7,0,0,0,0,cuadro 27
Hombre,113.0,73,18,6,9,7,0,0,0,0,cuadro 27
Mujer,2.0,2,0,0,0,0,0,0,0,0,cuadro 27
Ignorado,1.0,1,0,0,0,0,0,0,0,0,cuadro 27
Panel,49.0,35,6,0,6,0,2,0,0,0,cuadro 27
Hombre,49.0,35,6,0,6,0,2,0,0,0,cuadro 27
Cuatrimoto,42.0,28,7,3,3,1,0,0,0,0,cuadro 27
Hombre,40.0,28,6,3,2,1,0,0,0,0,cuadro 27
Mujer,2.0,0,1,0,1,0,0,0,0,0,cuadro 27
Tractor ,9.0,7,2,0,0,0,0,0,0,0,cuadro 27
Hombre ,9.0,7,2,0,0,0,0,0,0,0,cuadro 27
Bus extraurbano,8.0,5,2,1,0,0,0,0,0,0,cuadro 27
Hombre,7.0,5,1,1,0,0,0,0,0,0,cuadro 27
Ignorado,1.0,0,1,0,0,0,0,0,0,0,cuadro 27
Jeep,7.0,5,2,0,0,0,0,0,0,0,cuadro 27
Hombre,6.0,4,2,0,0,0,0,0,0,0,cuadro 27
Mujer,1.0,1,0,0,0,0,0,0,0,0,cuadro 27
Bicicleta,4.0,1,3,0,0,0,0,0,0,0,cuadro 27
Hombre ,4.0,1,3,0,0,0,0,0,0,0,cuadro 27
Montacargas,1.0,0,1,0,0,0,0,0,0,0,cuadro 27
Hombre,1.0,0,1,0,0,0,0,0,0,0,cuadro 27
Taxi,1.0,0,1,0,0,0,0,0,0,0,cuadro 27
Hombre ,1.0,0,1,0,0,0,0,0,0,0,cuadro 27
Ignorado,246.0,41,191,7,1,1,2,-,-,3,cuadro 27
Hombre,213.0,39,160,7,1,1,2,-,-,3,cuadro 27
Mujer ,2.0,-,2,-,-,-,-,-,-,-,cuadro 27
Ignorado,31.0,2,29,-,-,-,-,-,-,-,cuadro 27
