zona_de_ocurrencia,total,motocicleta,automovil,camioneta,pick_up,camion,bus_urbano,cabezal,microbus,moto_taxi,panel,jeep,cuatrimoto,bicicleta,taxi,bus_extraurbano,ignorado,fuente_cuadro
Total,2738.0,1420,738,222,108,79,49,38,13,10,8,3,1,1,1,1,46,cuadro 28
1,330.0,157,102,22,14,11,18,1,3,1,0,0,0,0,1,0,0,cuadro 28
2,66.0,36,15,6,2,2,2,2,1,0,0,0,0,0,0,0,0,cuadro 28
3,84.0,42,21,11,5,3,0,0,1,0,1,0,0,0,0,0,0,cuadro 28
4,34.0,19,6,3,2,2,1,0,0,0,0,0,0,0,0,0,1,cuadro 28
5,98.0,52,31,8,5,0,0,1,0,0,0,0,0,0,0,0,1,cuadro 28
6,153.0,88,35,10,6,6,2,3,0,1,1,0,0,0,0,0,1,cuadro 28
7,379.0,201,101,32,14,8,8,5,2,2,1,0,0,1,0,0,4,cuadro 28
8,40.0,17,13,3,1,1,1,0,1,0,0,0,0,0,0,0,3,cuadro 28
9,149.0,81,35,21,3,2,5,1,1,0,0,0,0,0,0,0,0,cuadro 28
10,141.0,69,37,22,6,1,2,0,1,0,3,0,0,0,0,0,0,cuadro 28
11,189.0,80,62,12,9,7,4,7,0,0,1,0,0,0,0,0,7,cuadro 28
12,425.0,226,114,28,15,16,2,7,0,1,1,0,0,0,0,0,15,cuadro 28
13,134.0,82,34,8,6,1,1,0,0,0,0,1,0,0,0,0,1,cuadro 28
14,14.0,8,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,cuadro 28
15,37.0,17,10,4,4,0,0,0,0,0,0,2,0,0,0,0,0,cuadro 28
16,40.0,15,17,4,1,1,0,0,1,0,0,0,0,0,0,0,1,cuadro 28
17,64.0,37,15,1,2,4,0,3,0,0,0,0,0,0,0,0,2,cuadro 28
18,236.0,128,53,16,9,6,3,8,1,4,0,0,1,0,0,0,7,cuadro 28
19,28.0,11,11,3,0,2,0,0,0,0,0,0,0,0,0,1,0,cuadro 28
21,69.0,39,20,4,2,1,0,0,0,1,0,0,0,0,0,0,2,cuadro 28
24,5.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cuadro 28
25,13.0,8,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,cuadro 28
Ignorado,10.0,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,cuadro 28
