departamento,total,hombre,mujer,ignorado,total__fallecidos,hombre,mujer,ignorado,total_lesionados,hombre,mujer,ignorado,total,hombre,mujer,fuente_cuadro
Total,11274.0,8468.0,2773.0,33.0,2365,2021,327,17,8907,6446,2445,16,2,1,1,cuadro 30
Guatemala,4092.0,3093.0,989.0,10.0,575,500,70,5,3516,2593,918,5,1,0,1,cuadro 30
El Progreso,276.0,204.0,72.0,0.0,62,55,7,0,214,149,65,0,0,0,0,cuadro 30
Sacatepéquez,478.0,359.0,118.0,1.0,94,81,13,0,384,278,105,1,0,0,0,cuadro 30
Chimaltenango,349.0,272.0,75.0,2.0,134,116,17,1,215,156,58,1,0,0,0,cuadro 30
Escuintla,1549.0,1185.0,361.0,3.0,296,243,51,2,1253,942,310,1,0,0,0,cuadro 30
Santa Rosa,338.0,264.0,74.0,0.0,96,92,4,0,242,172,70,0,0,0,0,cuadro 30
Sololá,126.0,91.0,34.0,1.0,26,20,5,1,100,71,29,0,0,0,0,cuadro 30
Totonicapán,102.0,62.0,40.0,0.0,14,10,4,0,88,52,36,0,0,0,0,cuadro 30
Quetzaltenango,311.0,233.0,76.0,2.0,71,57,13,1,240,176,63,1,0,0,0,cuadro 30
Suchitepéquez,315.0,229.0,84.0,2.0,84,66,16,2,231,163,68,0,0,0,0,cuadro 30
Retalhuleu,254.0,193.0,61.0,0.0,55,47,8,0,199,146,53,0,0,0,0,cuadro 30
San Marcos,216.0,154.0,61.0,1.0,51,41,9,1,165,113,52,0,0,0,0,cuadro 30
Huehuetenango,166.0,126.0,39.0,1.0,44,39,4,1,122,87,35,0,0,0,0,cuadro 30
Quiché,258.0,184.0,74.0,0.0,58,52,6,0,200,132,68,0,0,0,0,cuadro 30
Baja Verapaz,236.0,159.0,77.0,0.0,47,41,6,0,189,118,71,0,0,0,0,cuadro 30
Alta Verapaz,558.0,402.0,153.0,3.0,124,106,18,0,434,296,135,3,0,0,0,cuadro 30
Petén,351.0,283.0,66.0,2.0,157,141,15,1,194,142,51,1,0,0,0,cuadro 30
Izabal,426.0,318.0,105.0,3.0,136,112,23,1,290,206,82,2,0,0,0,cuadro 30
Zacapa,199.0,153.0,46.0,0.0,64,55,9,0,135,98,37,0,0,0,0,cuadro 30
Chiquimula,195.0,148.0,46.0,1.0,44,35,9,0,150,112,37,1,1,1,0,cuadro 30
Jalapa,157.0,115.0,42.0,0.0,44,33,11,0,113,82,31,0,0,0,0,cuadro 30
Jutiapa,322.0,241.0,80.0,1.0,89,79,9,1,233,162,71,0,0,0,0,cuadro 30
