departamento,2020,2021,2022,2023,2024,fuente_cuadro
Total,6593.0,8394.0,8545.0,8921.0,8907.0,cuadro 31
Guatemala,2599.0,3468.0,3406.0,3511.0,3516.0,cuadro 31
El Progreso,146.0,186.0,201.0,197.0,214.0,cuadro 31
Sacatepéquez,217.0,269.0,380.0,386.0,384.0,cuadro 31
Chimaltenango,249.0,273.0,306.0,273.0,215.0,cuadro 31
Escuintla,503.0,610.0,791.0,1034.0,1253.0,cuadro 31
Santa Rosa,214.0,251.0,304.0,360.0,242.0,cuadro 31
Sololá,86.0,145.0,67.0,109.0,100.0,cuadro 31
Totonicapán,60.0,56.0,87.0,89.0,88.0,cuadro 31
Quetzaltenango,180.0,236.0,300.0,310.0,240.0,cuadro 31
Suchitepéquez,213.0,235.0,194.0,223.0,231.0,cuadro 31
Retalhuleu,206.0,228.0,222.0,248.0,199.0,cuadro 31
San Marcos,148.0,172.0,144.0,242.0,165.0,cuadro 31
Huehuetenango,144.0,139.0,165.0,150.0,122.0,cuadro 31
Quiché,138.0,231.0,200.0,191.0,200.0,cuadro 31
Baja Verapaz,139.0,153.0,200.0,174.0,189.0,cuadro 31
Alta Verapaz,327.0,492.0,415.0,364.0,434.0,cuadro 31
Petén,208.0,243.0,210.0,222.0,194.0,cuadro 31
Izabal,192.0,203.0,216.0,218.0,290.0,cuadro 31
Zacapa,148.0,179.0,135.0,102.0,135.0,cuadro 31
Chiquimula,174.0,187.0,155.0,132.0,150.0,cuadro 31
Jalapa,131.0,180.0,176.0,143.0,113.0,cuadro 31
Jutiapa,171.0,258.0,271.0,243.0,233.0,cuadro 31
