departamento,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,8907.0,1251,1036,975,1038,1215,1691,1701,cuadro 33
Guatemala,3516.0,449,399,386,429,507,668,678,cuadro 33
El Progreso,214.0,30,22,18,25,26,48,45,cuadro 33
Sacatepéquez,384.0,65,53,41,49,39,71,66,cuadro 33
Chimaltenango,215.0,33,23,28,20,16,47,48,cuadro 33
Escuintla,1253.0,189,159,129,151,149,213,263,cuadro 33
Santa Rosa,242.0,38,29,11,38,29,53,44,cuadro 33
Sololá,100.0,15,17,9,12,9,12,26,cuadro 33
Totonicapán,88.0,5,11,10,11,13,26,12,cuadro 33
Quetzaltenango,240.0,42,30,21,27,38,37,45,cuadro 33
Suchitepéquez,231.0,27,10,28,40,35,68,23,cuadro 33
Retalhuleu,199.0,48,29,14,13,26,36,33,cuadro 33
San Marcos,165.0,23,13,18,9,32,42,28,cuadro 33
Huehuetenango,122.0,15,19,13,11,10,28,26,cuadro 33
Quiché,200.0,32,34,20,23,49,23,19,cuadro 33
Baja Verapaz,189.0,24,14,26,23,44,34,24,cuadro 33
Alta Verapaz,434.0,52,52,64,27,71,86,82,cuadro 33
Petén,194.0,25,13,28,18,15,46,49,cuadro 33
Izabal,290.0,62,24,21,32,41,47,63,cuadro 33
Zacapa,135.0,15,36,25,11,17,16,15,cuadro 33
Chiquimula,150.0,20,15,17,21,11,25,41,cuadro 33
Jalapa,113.0,14,10,13,20,14,18,24,cuadro 33
Jutiapa,233.0,28,24,35,28,24,47,47,cuadro 33
