departamento,total,menor_de_15,15_-_19,20_-_24,25_-_29,30_-_34,35_-_39,40_-_44,45_-_49,50_-_54,55_-_59,60_-_64,65_-_69,70_-_74,75_-_79,80_y_mas,ignorado,fuente_cuadro
Total,8907.0,718,1027,1572,1191,904,658,511,337,282,157,147,117,85,70,54,1077,cuadro 34
Guatemala,3516.0,150,356,711,518,434,270,204,132,93,64,53,40,33,23,28,407,cuadro 34
El Progreso,214.0,16,21,34,32,11,16,14,3,13,6,4,3,4,0,2,35,cuadro 34
Sacatepéquez,384.0,30,44,77,46,36,27,17,10,15,9,6,8,5,0,1,53,cuadro 34
Chimaltenango,215.0,16,23,39,30,20,14,8,8,9,7,8,2,0,2,1,28,cuadro 34
Escuintla,1253.0,106,137,207,172,119,101,77,49,47,21,20,7,11,8,2,169,cuadro 34
Santa Rosa,242.0,20,30,41,37,19,16,24,8,4,3,3,2,1,4,0,30,cuadro 34
Sololá,100.0,18,9,12,10,6,5,8,6,5,2,1,1,2,0,1,14,cuadro 34
Totonicapán,88.0,15,6,5,6,13,10,2,3,4,1,4,5,1,0,0,13,cuadro 34
Quetzaltenango,240.0,25,23,32,36,23,19,12,12,7,3,7,3,3,1,0,34,cuadro 34
Suchitepéquez,231.0,20,31,30,35,25,21,8,10,11,2,5,3,0,3,3,24,cuadro 34
Retalhuleu,199.0,18,35,35,29,16,7,13,7,7,2,0,2,5,4,0,19,cuadro 34
San Marcos,165.0,29,25,16,13,14,14,6,6,8,5,1,2,4,1,1,20,cuadro 34
Huehuetenango,122.0,13,18,24,11,12,5,4,3,4,2,1,3,2,2,2,16,cuadro 34
Quiché,200.0,29,27,28,30,8,10,15,8,9,3,4,3,1,3,1,21,cuadro 34
Baja Verapaz,189.0,27,38,30,17,13,9,6,12,4,3,6,2,0,3,2,17,cuadro 34
Alta Verapaz,434.0,72,49,62,43,41,24,33,22,6,11,9,8,5,7,4,38,cuadro 34
Petén,194.0,23,31,31,18,18,16,12,4,8,2,1,2,2,1,2,23,cuadro 34
Izabal,290.0,26,30,51,33,23,24,15,6,11,3,5,8,3,3,2,47,cuadro 34
Zacapa,135.0,17,17,22,13,10,12,11,4,6,3,2,1,1,1,1,14,cuadro 34
Chiquimula,150.0,9,19,23,23,17,12,3,7,6,2,5,5,0,1,0,18,cuadro 34
Jalapa,113.0,14,23,21,12,8,7,3,6,2,2,0,2,1,2,1,9,cuadro 34
Jutiapa,233.0,25,35,41,27,18,19,16,11,3,1,2,5,1,1,0,28,cuadro 34
