hora_de_ocurrencia,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,8907.0,1251,1036,975,1038,1215,1691,1701,cuadro 35
00:00 a 00:59,564.0,78,38,74,66,64,113,131,cuadro 35
01:00 a 01:59,271.0,26,30,18,23,31,56,87,cuadro 35
02:00 a 02:59,197.0,24,15,14,11,17,54,62,cuadro 35
03:00 a 03:59,160.0,29,8,6,12,31,24,50,cuadro 35
04:00 a 04:59,114.0,7,9,4,10,16,25,43,cuadro 35
05:00 a 05:59,199.0,30,21,22,19,21,47,39,cuadro 35
06:00 a 06:59,228.0,49,32,37,25,20,25,40,cuadro 35
07:00 a 07:59,318.0,53,62,43,28,34,59,39,cuadro 35
08:00 a 08:59,235.0,29,36,26,38,57,20,29,cuadro 35
09:00 a 09:59,296.0,41,37,37,49,52,38,42,cuadro 35
10:00 a 10:59,254.0,49,24,27,36,28,38,52,cuadro 35
11:00 a 11:59,307.0,42,46,32,45,44,35,63,cuadro 35
12:00 a 12:59,341.0,70,40,38,24,43,65,61,cuadro 35
13:00 a 13:59,361.0,43,38,49,45,64,59,63,cuadro 35
14:00 a 14:59,411.0,46,44,49,51,91,58,72,cuadro 35
15:00 a 15:59,437.0,51,53,42,56,45,104,86,cuadro 35
16:00 a 16:59,413.0,64,51,45,57,44,71,81,cuadro 35
17:00 a 17:59,562.0,71,69,56,66,71,129,100,cuadro 35
18:00 a 18:59,592.0,72,75,55,77,93,121,99,cuadro 35
19:00 a 19:59,664.0,105,79,67,95,69,124,125,cuadro 35
20:00 a 20:59,601.0,80,68,91,65,76,94,127,cuadro 35
21:00 a 21:59,580.0,93,81,35,59,84,130,98,cuadro 35
22:00 a 22:59,418.0,40,39,57,47,73,104,58,cuadro 35
23:00 a 23:59,383.0,59,41,51,34,47,98,53,cuadro 35
Ignorada,1.0,0,0,0,0,0,0,1,cuadro 35
