tipo_de_vehiculo,total,hombre,mujer,ignorado,colision,total,total,total,atropello,total,total,total,derrape,total,total,choque,total,total,total,vuelco,total,total,embarranco,total,total,total,encuneto,total,total,caida,total,ignorado,total,total,fuente_cuadro
Total,8907.0,6446.0,2445.0,16.0,5289,3931,1355,3,1495,986,499,10,1027,820,207,321,216,103,2,341,199,142,262,164,97,1,6,5,1,1,1,165,125,40,cuadro 36
Motocicleta,5675.0,4389.0,1280.0,6.0,3865,3061,801,3,673,405,266,2,952,780,172,81,68,13,0,2,2,0,31,27,3,1,0,0,0,0,0,71,46,25,cuadro 36
Automóvil,952.0,650.0,296.0,6.0,376,232,144,0,379,279,94,6,9,9,0,63,35,28,0,34,26,8,49,30,19,0,1,0,1,0,0,41,39,2,cuadro 36
Pick Up,675.0,407.0,268.0,0.0,351,217,134,0,101,69,32,0,23,6,17,52,30,22,0,97,51,46,27,17,10,0,5,5,0,0,0,19,12,7,cuadro 36
Camioneta,397.0,245.0,150.0,2.0,215,131,84,0,103,66,37,0,0,0,0,24,14,8,2,14,8,6,31,19,12,0,0,0,0,0,0,10,7,3,cuadro 36
Bus Urbano,313.0,159.0,154.0,0.0,73,30,43,0,38,23,15,0,4,1,3,27,17,10,0,98,53,45,71,34,37,0,0,0,0,1,1,1,1,0,cuadro 36
Camión,260.0,199.0,60.0,1.0,115,93,22,0,48,31,16,1,2,2,0,37,28,9,0,39,30,9,11,10,1,0,0,0,0,0,0,8,5,3,cuadro 36
Microbús,229.0,123.0,106.0,0.0,133,70,63,0,14,7,7,0,6,5,1,18,10,8,0,29,10,19,28,20,8,0,0,0,0,0,0,1,1,0,cuadro 36
Moto Taxi,137.0,68.0,69.0,0.0,87,40,47,0,14,11,3,0,5,2,3,5,2,3,0,18,10,8,7,2,5,0,0,0,0,0,0,1,1,0,cuadro 36
Cabezal,63.0,52.0,11.0,0.0,30,25,5,0,23,17,6,0,1,1,0,1,1,0,0,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0,cuadro 36
Cuatrimoto,43.0,25.0,18.0,0.0,26,16,10,0,5,4,1,0,9,3,6,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,cuadro 36
Panel,28.0,25.0,3.0,0.0,8,8,0,0,3,2,1,0,0,0,0,12,10,2,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,cuadro 36
Bus Extraurbano,12.0,7.0,5.0,0.0,1,1,0,0,1,1,0,0,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cuadro 36
Bicicleta,6.0,5.0,1.0,0.0,1,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cuadro 36
Tractor,3.0,3.0,0.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cuadro 36
Jeep,3.0,1.0,2.0,0.0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cuadro 36
Furgoneta,1.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cuadro 36
Montacargas,1.0,1.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cuadro 36
Taxi,1.0,0.0,1.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cuadro 36
Ignorado,108.0,86.0,21.0,1.0,4,3,1,0,83,64,18,1,6,6,0,0,0,0,0,3,2,1,2,1,1,0,0,0,0,0,0,10,10,0,cuadro 36
