departamento,total,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,fuente_cuadro
Total,1495.0,134,147,169,121,109,97,138,127,143,147,163,cuadro 39
Guatemala,715.0,60,73,78,63,59,46,75,61,54,66,80,cuadro 39
El Progreso,17.0,2,0,0,0,0,0,1,7,2,0,5,cuadro 39
Sacatepéquez,58.0,5,6,7,3,3,3,5,2,7,12,5,cuadro 39
Chimaltenango,50.0,5,5,4,2,3,2,1,4,9,7,8,cuadro 39
Escuintla,174.0,17,19,29,17,17,9,9,12,12,13,20,cuadro 39
Santa Rosa,40.0,5,1,9,1,0,4,2,3,8,6,1,cuadro 39
Sololá,18.0,1,1,0,0,3,0,4,4,1,4,0,cuadro 39
Totonicapán,13.0,0,0,0,1,0,0,4,2,5,0,1,cuadro 39
Quetzaltenango,25.0,5,1,1,2,2,3,2,2,1,1,5,cuadro 39
Suchitepéquez,42.0,2,2,12,9,4,0,0,3,2,5,3,cuadro 39
Retalhuleu,24.0,1,8,2,2,1,0,2,3,2,2,1,cuadro 39
San Marcos,17.0,2,2,1,0,2,0,1,1,4,3,1,cuadro 39
Huehuetenango,17.0,1,3,2,1,0,2,0,1,6,1,0,cuadro 39
Quiché,31.0,2,5,1,1,1,0,8,3,3,3,4,cuadro 39
Baja Verapaz,33.0,2,4,1,3,2,3,4,3,0,1,10,cuadro 39
Alta Verapaz,94.0,10,8,9,8,6,7,10,6,8,9,13,cuadro 39
Petén,28.0,4,2,2,1,0,4,1,6,1,3,4,cuadro 39
Izabal,35.0,1,3,0,0,4,7,4,2,11,3,0,cuadro 39
Zacapa,7.0,0,2,0,3,0,0,0,1,0,1,0,cuadro 39
Chiquimula,6.0,0,0,0,0,0,1,1,0,1,3,0,cuadro 39
Jalapa,17.0,5,1,2,0,1,1,1,0,1,4,1,cuadro 39
Jutiapa,34.0,4,1,9,4,1,5,3,1,5,0,1,cuadro 39
                   El mes que no aparece se debe a que no se presentaron hechos de ese tipo de evento.,,,,,,,,,,,,,cuadro 39
