mes_de_ocurrencia,2020,2021,2022,2023,2024,fuente_cuadro
Total,6350.0,8153.0,7924.0,8218.0,8401.0,cuadro 4
Enero,610.0,695.0,714.0,696.0,626.0,cuadro 4
Febrero,670.0,626.0,614.0,683.0,711.0,cuadro 4
Marzo,590.0,657.0,727.0,635.0,780.0,cuadro 4
Abril,329.0,644.0,632.0,938.0,630.0,cuadro 4
Mayo,374.0,701.0,671.0,696.0,674.0,cuadro 4
Junio,372.0,625.0,554.0,647.0,549.0,cuadro 4
Julio,405.0,614.0,683.0,640.0,703.0,cuadro 4
Agosto,571.0,643.0,624.0,605.0,687.0,cuadro 4
Septiembre,495.0,648.0,612.0,615.0,686.0,cuadro 4
Octubre,591.0,691.0,628.0,615.0,747.0,cuadro 4
Noviembre,626.0,738.0,719.0,614.0,768.0,cuadro 4
Diciembre,717.0,871.0,746.0,834.0,840.0,cuadro 4
