departamento,total,menor_de_15,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80_y_mas,ignorado,fuente_cuadro
Total,1495.0,189,123,174,119,116,112,95,70,66,51,53,51,50,38,40,148,cuadro 41
Guatemala,715.0,67,53,85,61,71,61,45,35,34,26,31,19,24,18,21,64,cuadro 41
El Progreso,17.0,1,1,2,2,0,1,2,2,0,0,0,2,1,0,0,3,cuadro 41
Sacatepéquez,58.0,9,9,8,2,3,7,2,3,0,2,0,1,4,0,1,7,cuadro 41
Chimaltenango,50.0,8,3,3,6,4,5,1,3,4,5,3,1,0,0,1,3,cuadro 41
Escuintla,174.0,23,21,25,14,8,14,9,6,9,4,7,5,6,3,2,18,cuadro 41
Santa Rosa,40.0,5,2,5,2,3,4,4,3,0,0,2,1,1,2,0,6,cuadro 41
Sololá,18.0,4,1,2,0,1,0,0,3,1,1,0,1,2,0,1,1,cuadro 41
Totonicapán,13.0,2,2,1,0,1,3,1,0,0,0,1,1,0,0,0,1,cuadro 41
Quetzaltenango,25.0,1,1,2,2,3,2,2,2,0,1,2,0,0,0,0,7,cuadro 41
Suchitepéquez,42.0,7,5,4,5,4,2,1,2,2,1,1,1,0,1,3,3,cuadro 41
Retalhuleu,24.0,8,2,4,2,1,0,1,0,2,0,0,0,1,1,0,2,cuadro 41
San Marcos,17.0,2,4,0,0,2,0,0,0,1,1,0,2,3,1,0,1,cuadro 41
Huehuetenango,17.0,2,1,1,0,1,1,0,0,1,2,1,2,1,1,1,2,cuadro 41
Quiché,31.0,3,2,5,1,0,2,5,3,2,1,0,2,0,0,0,5,cuadro 41
Baja Verapaz,33.0,9,4,1,3,0,2,1,1,1,2,2,2,0,3,2,0,cuadro 41
Alta Verapaz,94.0,22,5,8,6,6,4,10,5,1,3,2,2,4,4,3,9,cuadro 41
Petén,28.0,4,0,1,4,3,1,1,1,2,1,0,0,2,1,2,5,cuadro 41
Izabal,35.0,2,2,5,5,1,2,4,0,3,0,0,5,0,1,1,4,cuadro 41
Zacapa,7.0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,1,cuadro 41
Chiquimula,6.0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,cuadro 41
Jalapa,17.0,1,1,2,0,1,1,2,0,0,1,0,1,1,1,1,4,cuadro 41
Jutiapa,34.0,9,4,7,3,2,0,4,1,1,0,0,1,0,1,0,1,cuadro 41
