zona_de_ocurrencia,total,menor_de_15,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80_y_mas,ignorado,fuente_cuadro
Total,1769.0,63,148,339,268,250,146,121,65,51,34,23,20,19,17,17,188,cuadro 44
1,222.0,9,23,41,36,29,15,15,10,5,5,2,4,2,2,4,20,cuadro 44
2,37.0,0,3,7,5,10,2,1,3,1,0,3,0,0,1,0,1,cuadro 44
3,66.0,1,5,15,6,8,4,9,5,4,2,2,1,0,1,1,2,cuadro 44
4,24.0,3,2,3,5,6,3,2,0,0,0,0,0,0,0,0,0,cuadro 44
5,56.0,3,1,5,15,10,5,3,2,1,2,0,0,1,0,1,7,cuadro 44
6,112.0,7,11,20,18,13,6,6,3,6,3,3,0,4,3,0,9,cuadro 44
7,248.0,13,25,51,40,19,26,19,11,7,3,2,4,3,1,1,23,cuadro 44
8,20.0,1,0,3,4,9,0,0,1,1,0,0,0,0,1,0,0,cuadro 44
9,84.0,1,5,18,20,12,9,8,1,1,2,1,1,1,1,1,2,cuadro 44
10,87.0,0,6,24,15,16,7,2,5,0,2,2,2,0,0,0,6,cuadro 44
11,102.0,2,5,27,14,20,5,7,3,2,3,1,0,0,0,0,13,cuadro 44
12,272.0,2,30,48,40,40,22,19,8,9,1,4,0,2,1,0,46,cuadro 44
13,104.0,2,3,17,22,14,14,7,5,4,4,0,0,1,0,1,10,cuadro 44
14,7.0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,cuadro 44
15,28.0,0,3,7,4,2,3,1,1,0,1,0,0,0,1,1,4,cuadro 44
16,25.0,3,0,9,2,2,3,0,0,0,0,0,2,0,1,1,2,cuadro 44
17,32.0,2,3,7,0,5,1,2,1,0,0,0,1,0,0,1,9,cuadro 44
18,167.0,10,13,29,17,20,16,12,4,6,4,2,5,4,2,2,21,cuadro 44
19,15.0,0,2,2,1,1,0,1,0,1,0,0,0,0,1,1,5,cuadro 44
21,38.0,2,3,3,2,8,4,4,2,1,2,1,0,1,0,2,3,cuadro 44
24,4.0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,cuadro 44
25,9.0,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,1,cuadro 44
Ignorada,10.0,0,1,1,2,1,0,3,0,0,0,0,0,0,0,0,2,cuadro 44
