departamento,2020,2021,2022,2023,2024,,col_10,fuente_cuadro
Total,1549.0,2150.0,2176.0,2275.0,2365.0,,,cuadro 47
Guatemala,426.0,514.0,541.0,561.0,575.0,,                                ,cuadro 47
El Progreso,52.0,67.0,63.0,79.0,62.0,,                                                  ,cuadro 47
Sacatepéquez,45.0,67.0,86.0,82.0,94.0,,,cuadro 47
Chimaltenango,67.0,99.0,97.0,99.0,134.0,,,cuadro 47
Escuintla,156.0,286.0,250.0,288.0,296.0,,,cuadro 47
Santa Rosa,69.0,82.0,76.0,82.0,96.0,,,cuadro 47
Sololá,15.0,32.0,26.0,30.0,26.0,                                                                                                                    ,,cuadro 47
Totonicapán,14.0,23.0,26.0,18.0,14.0,,,cuadro 47
Quetzaltenango,60.0,60.0,64.0,82.0,71.0,,,cuadro 47
Suchitepéquez,43.0,58.0,71.0,64.0,84.0,,,cuadro 47
Retalhuleu,49.0,56.0,63.0,41.0,55.0,,,cuadro 47
San Marcos,40.0,45.0,53.0,45.0,51.0,,,cuadro 47
Huehuetenango,29.0,57.0,40.0,43.0,44.0,,,cuadro 47
Quiché,34.0,71.0,75.0,59.0,58.0,,,cuadro 47
Baja Verapaz,26.0,30.0,50.0,44.0,47.0,,,cuadro 47
Alta Verapaz,73.0,115.0,103.0,104.0,124.0,,,cuadro 47
Petén,85.0,125.0,121.0,162.0,157.0,,,cuadro 47
Izabal,102.0,129.0,111.0,129.0,136.0,,,cuadro 47
Zacapa,49.0,63.0,64.0,75.0,64.0,,,cuadro 47
Chiquimula,31.0,74.0,81.0,47.0,44.0,,,cuadro 47
Jalapa,31.0,29.0,29.0,37.0,44.0,,,cuadro 47
Jutiapa,53.0,68.0,86.0,104.0,89.0,,,cuadro 47
