departamento,total,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,fuente_cuadro
Total,2365.0,188,205,221,191,189,167,198,188,198,201,182,237,cuadro 48
Guatemala,575.0,43,61,53,46,56,53,47,40,39,46,40,51,cuadro 48
El Progreso,62.0,3,2,4,3,9,4,4,5,5,4,7,12,cuadro 48
Sacatepéquez,94.0,9,10,5,6,8,5,9,7,11,6,6,12,cuadro 48
Chimaltenango,134.0,12,10,13,13,10,10,11,9,18,9,7,12,cuadro 48
Escuintla,296.0,26,14,19,30,24,18,19,26,20,31,26,43,cuadro 48
Santa Rosa,96.0,4,8,8,7,0,8,7,13,9,9,9,14,cuadro 48
Sololá,26.0,7,1,4,2,2,4,0,1,3,1,0,1,cuadro 48
Totonicapán,14.0,0,1,1,1,0,5,3,1,0,0,1,1,cuadro 48
Quetzaltenango,71.0,3,11,6,4,3,2,9,9,8,7,2,7,cuadro 48
Suchitepéquez,84.0,4,19,10,7,10,3,5,5,2,7,7,5,cuadro 48
Retalhuleu,55.0,5,3,13,8,0,4,5,3,4,1,5,4,cuadro 48
San Marcos,51.0,8,3,2,1,6,7,5,6,0,3,3,7,cuadro 48
Huehuetenango,44.0,3,4,6,4,5,1,7,2,2,4,2,4,cuadro 48
Quiché,58.0,2,5,5,4,6,1,5,0,12,4,8,6,cuadro 48
Baja Verapaz,47.0,7,7,3,1,5,4,3,2,3,4,4,4,cuadro 48
Alta Verapaz,124.0,11,9,12,13,7,8,11,12,10,11,9,11,cuadro 48
Petén,157.0,14,9,18,15,6,12,16,11,20,20,8,8,cuadro 48
Izabal,136.0,11,11,12,9,11,10,15,16,13,9,7,12,cuadro 48
Zacapa,64.0,4,3,9,3,6,3,7,4,5,8,7,5,cuadro 48
Chiquimula,44.0,3,9,0,1,2,1,3,5,4,4,8,4,cuadro 48
Jalapa,44.0,2,1,8,2,3,2,2,5,3,6,3,7,cuadro 48
Jutiapa,89.0,7,4,10,11,10,2,5,6,7,7,13,7,cuadro 48
