grupos_de_edad,total,hombre,mujer,ignorado,fuente_cuadro
Total,2365.0,2021,327,17,cuadro 54
Menos de 15,96.0,70,26,0,cuadro 54
15 - 19,175.0,149,25,1,cuadro 54
20 - 24,345.0,304,41,0,cuadro 54
25 - 29,327.0,291,34,2,cuadro 54
30 - 34,244.0,205,38,1,cuadro 54
35 - 39,197.0,171,26,0,cuadro 54
40 - 44,136.0,120,15,1,cuadro 54
45 - 49,114.0,96,18,0,cuadro 54
50 - 54,89.0,76,13,0,cuadro 54
55 - 59,63.0,54,9,0,cuadro 54
60 - 64,69.0,60,7,2,cuadro 54
65 - 69,59.0,47,12,0,cuadro 54
70 - 74,30.0,25,4,1,cuadro 54
75 - 79,29.0,25,4,0,cuadro 54
80 y más,38.0,22,16,0,cuadro 54
Ignorado,354.0,306,39,9,cuadro 54
