tipo_de_vehiculo,total,hombre,mujer,ignorado,fuente_cuadro
Total,629.0,526,86,17,cuadro 59
Automóvil,244.0,213,25,6,cuadro 59
Motocicleta,85.0,65,17,3,cuadro 59
Pick Up,60.0,52,7,1,cuadro 59
Camión,52.0,35,16,1,cuadro 59
Cabezal,29.0,24,3,2,cuadro 59
Camioneta,24.0,22,2,0,cuadro 59
Bus Urbano,21.0,13,7,1,cuadro 59
Moto Taxi,5.0,5,0,0,cuadro 59
Microbús,4.0,2,2,0,cuadro 59
Cuatrimoto,3.0,2,1,0,cuadro 59
Bicicleta,1.0,0,1,0,cuadro 59
Furgón,1.0,1,0,0,cuadro 59
Tractor,1.0,1,0,0,cuadro 59
Panel,1.0,1,0,0,cuadro 59
Ignorado,98.0,90,5,3,cuadro 59
