zona_de_ocurrencia,total,hombre,mujer,ignorado,fuente_cuadro
Total,273.0,240,31,2,cuadro 62
1,17.0,15,2,0,cuadro 62
2,6.0,4,2,0,cuadro 62
3,7.0,7,0,0,cuadro 62
4,3.0,3,0,0,cuadro 62
5,12.0,12,0,0,cuadro 62
6,16.0,13,3,0,cuadro 62
7,28.0,25,3,0,cuadro 62
8,8.0,7,1,0,cuadro 62
9,15.0,13,2,0,cuadro 62
10,12.0,11,1,0,cuadro 62
11,20.0,18,2,0,cuadro 62
12,43.0,37,6,0,cuadro 62
13,11.0,11,0,0,cuadro 62
14,3.0,3,0,0,cuadro 62
15,4.0,4,0,0,cuadro 62
16,5.0,4,1,0,cuadro 62
17,16.0,15,1,0,cuadro 62
18,37.0,30,5,2,cuadro 62
19,2.0,2,0,0,cuadro 62
21,4.0,3,1,0,cuadro 62
25,3.0,3,0,0,cuadro 62
Ignorado,1.0,0,1,0,cuadro 62
