departamento,total,colision,atropello,derrape,choque,vuelco,embarranco,encuneto,caida,ignorado,fuente_cuadro
Total,8401.0,4513,2073,1192,401,143,73,3,1,2,cuadro 8
Guatemala,3408.0,1846,852,530,147,24,7,0,1,1,cuadro 8
El Progreso,182.0,113,27,19,14,6,3,0,0,0,cuadro 8
Sacatepéquez,366.0,201,76,64,14,4,7,0,0,0,cuadro 8
Chimaltenango,299.0,138,111,31,14,2,3,0,0,0,cuadro 8
Escuintla,1123.0,569,238,237,47,23,7,1,0,1,cuadro 8
Santa Rosa,233.0,133,57,28,10,4,1,0,0,0,cuadro 8
Sololá,73.0,32,22,3,3,8,5,0,0,0,cuadro 8
Totonicapán,49.0,28,9,2,3,3,4,0,0,0,cuadro 8
Quetzaltenango,218.0,139,49,11,11,5,3,0,0,0,cuadro 8
Suchitepéquez,194.0,111,52,17,12,1,1,0,0,0,cuadro 8
Retalhuleu,176.0,117,32,20,6,1,0,0,0,0,cuadro 8
San Marcos,144.0,81,31,14,11,4,3,0,0,0,cuadro 8
Huehuetenango,128.0,80,32,8,6,0,1,1,0,0,cuadro 8
Quiché,153.0,69,46,13,12,9,4,0,0,0,cuadro 8
Baja Verapaz,172.0,92,43,19,12,2,4,0,0,0,cuadro 8
Alta Verapaz,364.0,176,127,23,20,12,6,0,0,0,cuadro 8
Petén,268.0,109,75,58,14,10,2,0,0,0,cuadro 8
Izabal,271.0,147,69,30,13,9,2,1,0,0,cuadro 8
Zacapa,120.0,74,23,13,8,1,1,0,0,0,cuadro 8
Chiquimula,124.0,82,17,15,6,3,1,0,0,0,cuadro 8
Jalapa,108.0,56,28,13,5,3,3,0,0,0,cuadro 8
Jutiapa,228.0,120,57,24,13,9,5,0,0,0,cuadro 8
