mes_de_ocurrencia,total,colision,atropello,derrape,choque,vuelco,embarranco,encuneto,caida,ignorado,fuente_cuadro
Total,8401.0,4513,2073,1192,401,143,73,3,1,2,cuadro 9
Enero,626.0,316,167,86,36,13,4,3,1,0,cuadro 9
Febrero,711.0,365,203,97,25,14,6,0,0,1,cuadro 9
Marzo,780.0,392,205,123,36,19,5,0,0,0,cuadro 9
Abril,630.0,333,155,91,32,16,2,0,0,1,cuadro 9
Mayo,674.0,368,134,112,43,13,4,0,0,0,cuadro 9
Junio,549.0,289,140,76,32,9,3,0,0,0,cuadro 9
Julio,703.0,374,187,96,32,9,5,0,0,0,cuadro 9
Agosto,687.0,386,150,93,37,10,11,0,0,0,cuadro 9
Septiembre,686.0,364,166,99,37,10,10,0,0,0,cuadro 9
Octubre,747.0,430,174,104,29,10,0,0,0,0,cuadro 9
Noviembre,768.0,430,182,104,30,14,8,0,0,0,cuadro 9
Diciembre,840.0,466,210,111,32,6,15,0,0,0,cuadro 9
